N,P,K,temperature,humidity,ph,rainfall,label
74,98,33,22.1,47,6.2,265,Wheat
63,32,76,27.8,71,6.8,263,Groundnut
86,39,40,19.8,54,8.0,208,Millet
56,82,49,21.4,39,8.0,182,Wheat
94,68,71,25.2,69,4.8,209,Millet
78,77,25,23.1,31,7.5,166,Wheat
90,30,25,22.9,64,5.8,141,Rice
142,95,95,25.1,54,7.0,212,Rice
140,93,12,24.7,46,6.3,172,Sugarcane
111,67,72,28.2,58,4.7,276,Cotton
132,70,12,27.4,33,5.9,168,Millet
84,65,42,33.8,88,5.0,161,Groundnut
81,79,79,25.8,84,7.9,180,Sugarcane
115,30,83,20.7,32,8.1,268,Millet
91,52,33,39.3,65,6.1,282,Sunflower
73,28,30,30.4,34,8.2,258,Millet
103,70,96,32.4,77,6.3,109,Cotton
149,74,75,29.1,88,6.9,250,Rice
98,81,11,15.6,48,4.6,205,Sugarcane
71,48,45,36.7,82,5.3,105,Barley
64,28,12,20.7,81,5.4,195,Millet
130,40,34,34.0,86,7.6,209,Wheat
138,43,45,25.2,48,6.1,211,Rice
97,35,61,36.3,62,6.9,252,Cotton
119,51,91,27.0,35,7.8,131,Millet
114,95,75,36.7,34,6.7,102,Cotton
126,56,12,27.4,76,5.8,123,Maize
65,95,12,29.3,63,6.0,141,Wheat
88,60,34,31.8,74,7.4,112,Soybean
88,48,76,20.8,79,4.7,159,Millet
112,94,47,34.2,48,4.8,276,Sugarcane
53,62,22,35.2,33,7.3,174,Millet
148,13,41,29.8,73,7.1,163,Sunflower
108,35,88,20.3,47,6.6,253,Rice
108,32,99,16.4,38,6.4,244,Rice
58,89,36,18.7,37,7.7,172,Wheat
119,20,42,34.0,57,7.1,125,Barley
55,53,93,22.8,36,6.6,159,Wheat
74,37,60,30.8,53,7.3,126,Rice
71,37,82,28.5,39,7.1,116,Millet
118,30,71,36.6,72,8.1,235,Cotton
145,88,100,25.8,54,6.1,129,Soybean
138,97,89,27.8,71,7.4,143,Maize
121,33,82,29.4,58,8.4,242,Soybean
93,60,72,25.3,38,6.4,211,Millet
74,77,21,22.6,42,6.1,114,Wheat
106,11,100,29.0,77,6.8,274,Rice
148,85,63,20.0,36,7.0,190,Sugarcane
54,29,41,25.6,84,4.9,282,Barley
76,62,80,36.8,60,8.0,201,Cotton
72,74,89,22.0,80,4.7,134,Wheat
65,95,49,18.1,62,5.8,232,Wheat
150,76,19,30.7,67,6.4,192,Sugarcane
84,38,56,19.1,40,5.3,137,Sunflower
141,88,93,21.6,55,6.3,230,Rice
147,81,92,27.1,90,7.8,230,Sugarcane
120,60,58,24.2,52,6.2,258,Rice
118,66,43,28.0,65,4.9,140,Sugarcane
77,15,49,30.2,58,7.6,210,Sugarcane
111,38,75,20.3,85,5.6,210,Cotton
61,21,49,16.5,45,7.9,252,Groundnut
115,17,74,24.1,38,6.2,153,Maize
54,37,88,23.4,60,6.2,192,Sunflower
64,55,18,18.4,47,7.9,113,Wheat
78,29,84,32.8,54,7.5,271,Cotton
122,92,26,34.9,81,6.2,146,Maize
110,30,99,29.8,74,7.9,278,Barley
57,27,12,32.2,75,5.0,160,Cotton
147,69,94,25.6,74,5.3,262,Maize
80,26,29,32.0,76,8.3,245,Soybean
112,36,78,33.2,88,6.7,258,Rice
55,86,86,22.5,49,7.8,162,Wheat
50,45,75,16.1,47,4.6,288,Maize
56,54,65,31.1,39,7.8,216,Cotton
66,14,78,30.9,40,7.5,114,Cotton
99,95,42,38.8,69,7.3,223,Sugarcane
146,86,90,23.2,80,6.0,232,Rice
81,40,11,23.5,87,7.4,245,Rice
130,81,79,33.4,80,5.3,102,Cotton
76,16,37,21.2,87,5.3,158,Groundnut
148,31,92,37.2,48,7.5,105,Cotton
70,75,80,15.3,40,6.9,265,Wheat
101,29,43,30.5,64,5.8,268,Soybean
139,32,86,15.1,36,7.0,283,Rice
109,10,51,31.8,53,5.3,221,Rice
143,18,79,18.0,72,4.6,243,Millet
113,94,33,25.6,86,8.4,229,Sugarcane
133,53,30,38.4,81,6.0,182,Sugarcane
113,59,29,25.1,40,5.4,151,Millet
128,99,54,18.2,73,7.6,122,Soybean
71,65,10,30.0,54,6.1,232,Soybean
119,67,62,20.6,37,5.3,279,Sunflower
80,18,16,33.0,41,7.7,279,Millet
108,26,36,38.4,44,6.3,181,Millet
136,28,80,34.3,47,5.2,148,Cotton
68,98,39,23.5,64,6.3,254,Wheat
107,98,39,37.1,85,5.8,293,Sugarcane
86,56,23,39.4,45,6.3,193,Millet
100,73,51,32.7,66,4.7,153,Sugarcane
86,37,53,33.7,84,5.3,258,Sunflower
144,72,99,29.7,68,6.3,282,Rice
78,53,98,18.6,63,8.3,264,Wheat
94,92,93,33.9,75,5.2,221,Cotton
65,70,96,19.6,40,7.1,165,Wheat
58,48,94,28.4,39,5.9,143,Millet
57,99,60,38.3,33,7.0,240,Sugarcane
52,100,11,39.1,38,7.3,176,Sugarcane
80,76,21,38.8,90,5.3,102,Sunflower
62,49,33,18.5,62,7.3,290,Cotton
70,19,80,35.5,85,6.7,162,Cotton
98,67,19,38.2,45,8.1,183,Millet
82,81,99,15.2,52,4.7,221,Sugarcane
99,94,59,27.0,66,6.4,276,Sugarcane
95,97,73,27.4,36,7.7,286,Sugarcane
130,15,90,32.7,64,8.0,165,Cotton
122,48,98,27.3,62,6.2,227,Rice
114,22,99,22.8,35,6.3,168,Wheat
100,11,17,22.2,79,6.4,125,Cotton
104,40,18,25.8,60,8.3,292,Rice
114,95,61,29.9,39,7.1,132,Millet
134,42,62,20.7,78,7.3,135,Soybean
108,54,28,16.4,41,4.8,289,Millet
79,90,33,39.9,56,6.5,273,Sugarcane
86,56,84,39.2,70,6.4,271,Cotton
52,10,18,23.1,43,6.8,216,Sunflower
112,38,21,20.9,41,5.1,173,Sugarcane
